Event_ID,Event_Title,Date,Day_of_Navratri,State,City,Event_Type,Category,Participants,Donations,Duration_Hours,Rating,Age_Group,Venue_Type,Organizer,Entry_Fee,Food_Stalls,Live_Music,Celebrity_Guest,Prize_Money,Sponsor,Media_Coverage,Social_Media_Reach,Repeat_Attendees,First_Time_Attendees,Female_Participants,Male_Participants,Volunteers,Safety_Measures,Parking_Available,Accessibility,Environmental_Impact
1006,Traditional Navratri Garba Night,2025-09-15,Day 1,Punjab,Patiala,Traditional Garba,Mata Sati & the Significance of Shakti Peethas,284,76498.45,5,3.6,Kids (5-12),Open Ground,Corporate CSR Initiative,200,Yes,Yes,No,0,Yes,Yes,4304,71,32,61,36,21,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1011,College Navratri Fest,2025-09-15,Day 1,Madhya Pradesh,Ujjain,College Fest,Navratri as a Platform for Social Unity & Diversity,621,59973.81,5,4.1,All Ages,College Ground,Temple Trust,100,Yes,Yes,No,0,No,No,37631,69,49,59,34,32,Excellent,Yes,Not Accessible,Moderate
1013,Techno Garba Dance Festival,2025-09-15,Day 1,Karnataka,Mysore,Techno Garba,Social & Economic Impact of Navratri Celebrations,424,84019.05,4,4.4,Senior (45+),Community Hall,School Management,150,No,Yes,No,0,Yes,No,16202,74,41,64,40,22,Average,No,Wheelchair Accessible,Moderate
1027,Grand Dandiya Celebration,2025-09-15,Day 1,Karnataka,Davangere,Dandiya Night,Comparative Study: Navratri Celebrations in Different States of India,192,40589.03,7,3.9,Youth (13-25),Temple Complex,Local Community Committee,50,No,Yes,No,0,Yes,Yes,6126,22,34,67,42,27,Good,Yes,Wheelchair Accessible,Eco-Friendly
1038,Techno Garba Dance Festival,2025-09-15,Day 1,Rajasthan,Bikaner,Techno Garba,"Music, Dance & Art Forms of Navratri across India",787,133598.44,4,4.2,Senior (45+),Public Park,Cultural Society,0,Yes,Yes,Yes,0,No,Yes,25160,47,34,52,54,44,Excellent,No,Not Accessible,Traditional
1042,College Navratri Fest,2025-09-15,Day 1,West Bengal,Durgapur,College Fest,"Fasting Foods, Rituals & Health Benefits",358,66133.73,7,4.6,Adults (26-45),College Ground,NGO - Women Empowerment,0,Yes,Yes,No,0,Yes,No,13112,78,36,55,54,18,Good,Yes,Wheelchair Accessible,Moderate
1046,Navratri Cultural Evening,2025-09-15,Day 1,Tamil Nadu,Tirunelveli,Cultural Program,Navratri as a Platform for Social Unity & Diversity,158,32827.12,4,4.0,All Ages,Hotel Banquet,Residential Welfare Association,0,Yes,Yes,No,0,Yes,No,25951,49,31,48,38,46,Excellent,Yes,Not Accessible,Moderate
1053,Grand Dandiya Celebration,2025-09-15,Day 1,Karnataka,Hubli,Dandiya Night,Importance of Shrishti (Creation) & Cosmic Energy,465,124907.94,6,4.4,Senior (45+),Public Park,Residential Welfare Association,100,Yes,No,No,0,Yes,Yes,42752,43,69,62,41,25,Good,Yes,Wheelchair Accessible,Eco-Friendly
1058,Kids Navratri Special,2025-09-15,Day 1,Karnataka,Bangalore,Kids Special,"Music, Dance & Art Forms of Navratri across India",295,51214.52,3,4.3,All Ages,College Ground,Municipal Corporation,0,No,Yes,No,0,No,No,44585,34,47,48,50,48,Excellent,Yes,Not Accessible,Eco-Friendly
1063,Celebrity Navratri Night,2025-09-15,Day 1,West Bengal,Kolkata,Celebrity Night,"Fasting Foods, Rituals & Health Benefits",560,115909.22,5,4.5,Kids (5-12),School Campus,Residential Welfare Association,0,No,No,No,0,Yes,Yes,40882,23,47,50,42,13,Good,No,Limited,Moderate
